ID,Lat,Lon,Dep,Mag
601,48.397534,-123.270036,42.244,1.7
602,48.469279,-123.265413,23.057,0.6
603,48.482166,-123.421916,21.579,1.0
604,48.339176,-123.372363,11.453,0.9
605,48.665833,-123.283057,21.367,0.9
606,48.467668,-123.184912,28.863,3.6
607,48.474080,-123.186621,26.354,0.9
608,48.472229,-123.188745,27.174,1.4
609,48.638623,-123.044548,22.417,2.9
611,48.403556,-123.231307,48.118,2.8
612,48.586768,-123.037313,14.149,0.9
613,48.605888,-123.068831,14.487,0.5
614,48.355440,-123.297673,21.051,1.2
615,48.683020,-123.193896,21.617,0.3
616,48.601750,-123.115495,8.022,0.6
617,48.471838,-123.275456,23.677,1.2
618,48.478988,-123.309196,43.761,1.7
619,48.462305,-123.271143,25.950,2.5
620,48.489657,-123.281559,20.319,1.9
621,48.535986,-123.463053,25.569,0.6
623,48.474890,-123.680778,19.305,0.9
624,48.463672,-123.239095,24.271,0.7
625,48.371582,-123.198535,46.951,1.3
626,48.461060,-123.287305,20.144,0.5
627,48.374508,-123.193823,9.297,0.6
628,48.479936,-123.153491,26.698,1.9
629,48.477132,-123.446273,23.887,0.6
630,48.600476,-123.043368,16.609,1.0
631,48.599255,-123.053939,15.781,0.5
632,48.596834,-123.038175,17.107,1.3
633,48.528971,-123.132511,5.041,0.4
634,48.674919,-123.295833,21.861,0.6
635,48.368205,-123.343758,15.006,0.7
636,48.407320,-123.102417,24.424,1.2
637,48.565039,-123.501847,25.875,1.2
638,48.608708,-123.113029,9.285,0.8
640,48.614042,-123.049382,16.136,0.4
