ID Lat Lon Dep Mag Strike Dip Rake
888 48.469918 -123.243709 22.646 0.4 -1234 -1234 -1234
919 48.487093 -123.280355 17.043 0.6 -1234 -1234 -1234
951 48.467008 -123.268392 22.118 0.4 -1234 -1234 -1234
952 48.467387 -123.272518 26.446 0.8 -1234 -1234 -1234
958 48.481905 -123.235758 24.676 0.6 -1234 -1234 -1234
960 48.482332 -123.235067 26.456 1.5 -1234 -1234 -1234
969 48.465833 -123.268229 22.032 1.2 -1234 -1234 -1234
971 48.462931 -123.286328 20.145 0.8 -1234 -1234 -1234
990 48.484843 -123.29703 26.295 0.9 -1234 -1234 -1234
997 48.489889 -123.263729 25.279 0.4 -1234 -1234 -1234
1004 48.464673 -123.278459 22.21 1.1 -1234 -1234 -1234
1011 48.461894 -123.273983 22.901 0.6 -1234 -1234 -1234
1061 48.475114 -123.282764 22.537 0.9 -1234 -1234 -1234
1085 48.469014 -123.309814 22.778 1 207 36 6
1086 48.470162 -123.303499 22.051 0.1 -1234 -1234 -1234
1087 48.466581 -123.289876 23.47 0.2 -1234 -1234 -1234
1096 48.497327 -123.260067 27.338 1.4 277 54 178
1134 48.463411 -123.275814 22.889 0.9 140 51 72
1145 48.469462 -123.262183 22.439 0.4 -1234 -1234 -1234
1155 48.463924 -123.274414 22.416 0.6 128 29 1
1217 48.457564 -123.286906 21.054 0.5 -1234 -1234 -1234
1233 48.437931 -123.288696 15.821 1.3 -1234 -1234 -1234
1235 48.454456 -123.306999 19.892 0.9 -1234 -1234 -1234
1236 48.465194 -123.276839 22.396 1.3 -1234 -1234 -1234
1238 48.463879 -123.286011 20.427 0.9 -1234 -1234 -1234
1245 48.456921 -123.286198 21.147 1 -1234 -1234 -1234
1263 48.50424 -123.31543 26.71 1 -1234 -1234 -1234
1297 48.466561 -123.278231 23.138 1.3 -1234 -1234 -1234
1305 48.46224 -123.282259 22.14 0.6 -1234 -1234 -1234
1306 48.468722 -123.27806 23.083 1.3 -1234 -1234 -1234
1378 48.490678 -123.275106 25.635 0.8 -1234 -1234 -1234
1386 48.487423 -123.281616 26.337 0.9 -1234 -1234 -1234
1389 48.491073 -123.289404 26.324 2.2 -1234 -1234 -1234
1472 48.473214 -123.257284 24.486 0.7 -1234 -1234 -1234
1487 48.462484 -123.278556 22.631 1.2 -1234 -1234 -1234
1488 48.463826 -123.283944 22.499 0.5 -1234 -1234 -1234
1492 48.502958 -123.294417 27.595 2.4 -1234 -1234 -1234
1496 48.461011 -123.279769 23.26 1.1 -1234 -1234 -1234
1497 48.454675 -123.281071 24.053 0.8 -1234 -1234 -1234
1503 48.465275 -123.27876 22.836 1 -1234 -1234 -1234
1504 48.483541 -123.282788 21.044 0 -1234 -1234 -1234
1505 48.46748 -123.329858 21.908 0.5 -1234 -1234 -1234
1515 48.503035 -123.270199 25.462 1.4 -1234 -1234 -1234
1516 48.464998 -123.285132 22.821 0.9 -1234 -1234 -1234
1518 48.457715 -123.281421 21.35 0.3 -1234 -1234 -1234
1521 48.459778 -123.298527 22.776 1.5 -1234 -1234 -1234
1528 48.462211 -123.282707 22.2 0.8 -1234 -1234 -1234
